Grid_ID,Longitude,Latitude,NDVI,EVI,NDWI,SAVI,VV,VH,VV_VH,Temperature,Rainfall,Soil_Moisture,ET
G0001,78.1356766491682,9.917517892350366,0.466599702835083,0.8936129280492497,-0.5224192142486572,0.6998116760828625,-9.355746051081493,-14.26554089060424,0.6558283434765168,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0002,78.1357677334242,9.917517040227795,0.5901338458061218,1.2664714494875549,-0.561855673789978,0.8850846123573396,-11.416718748420255,-15.005291522983104,0.7608461808911642,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0003,78.13585881767199,9.917516188080567,0.45610737800598145,0.8751416503554136,-0.48480701446533203,0.6840692524493357,-10.35892302489517,-12.21636465380694,0.8479546344965282,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0004,78.13567578975581,9.917427582436256,0.4630674719810486,0.8548518619189998,-0.49087271094322205,0.694516010305484,-9.420803391328539,-16.22554668805342,0.5806154684615285,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0005,78.13576687398695,9.917426730321594,0.41430193185806274,0.8385407094284139,-0.4434661865234375,0.6213823629553966,-12.76471931043907,-16.903957908852764,0.7551319862050807,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0006,78.13585795820985,9.917425878182279,0.2648075520992279,0.5290055248618785,-0.3268858790397644,0.39716557207051506,-9.110868307834219,-13.740667313912233,0.6630586491683408,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0007,78.13594904242457,9.917425026018307,0.5042349100112915,0.9092760411363405,-0.5196805596351624,0.7562455892731123,-11.26317651335552,-14.715639212977539,0.7653881934957106,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0008,78.13604012663106,9.917424173829682,0.6483136415481567,1.1404665314401623,-0.6540352702140808,0.9723303069606571,-12.573678175996502,-15.621271393270721,0.8049074790041064,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0009,78.1361312108293,9.917423321616399,0.4206211268901825,0.611323752437351,-0.5508543252944946,0.6308533101478078,-12.573678175996502,-15.621271393270721,0.8049074790041064,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0010,78.13622229501935,9.917422469378463,0.4126126170158386,0.6342319054652881,-0.5164409875869751,0.6188260021017865,-10.883406772875539,-14.398007879608985,0.7558967090363272,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0011,78.13631337920117,9.917421617115872,0.45358583331108093,0.825050824486108,-0.5391190052032471,0.6802731646748409,-10.547758745515177,-14.386217815619576,0.7331849747237345,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0012,78.13640446337477,9.917420764828627,0.3255684971809387,0.4751497490691274,-0.5055118203163147,0.48828504089837793,-10.907206320070111,-15.603818918651324,0.6990087732326009,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0013,78.13649554754016,9.917419912516726,0.31387609243392944,0.46797465455378273,-0.4979568123817444,0.47075387175220784,-10.240222003867355,-16.612998504108617,0.6163981776880803,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0014,78.13658663169733,9.91741906018017,0.5340672135353088,0.9599957214675366,-0.6163009405136108,0.8009817045961625,-9.47201560670757,-15.053945142365952,0.6292048706920491,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0015,78.13667771584626,9.917418207818958,0.7629119753837585,1.802649930264993,-0.718120813369751,1.1442272224271486,-7.581078137285907,-12.469612342110125,0.6079642196802267,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0016,78.13567493035163,9.917337272521586,0.6219965219497681,1.2642231396636794,-0.5706404447555542,0.9328792569659443,-9.11962333506666,-17.753733768284615,0.5136735434975381,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0017,78.1357660145579,9.917336420414836,0.5135378837585449,0.9999121342588525,-0.5023516416549683,0.7702199661590524,-12.029440751262646,-17.198219154406843,0.6994585103993306,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0018,78.13585709875595,9.91733556828343,0.3928571343421936,0.8124076809453471,-0.41016948223114014,0.589219953130231,-12.307538793822753,-15.708741059068528,0.7834834597848127,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0019,78.1359481829458,9.91733471612737,0.6230200529098511,1.2268662923684757,-0.6157687306404114,0.9344067572918041,-10.538132335081592,-14.431990497790038,0.73019257715665,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0020,78.1360392671274,9.917333863946656,0.6896032094955444,1.3701227422412934,-0.6302399039268494,1.0342749529190207,-10.939704492550948,-14.111617150977303,0.7752268485963933,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0021,78.1361303513008,9.917333011741285,0.36659619212150574,0.5404563022067074,-0.48053136467933655,0.5498361695381038,-10.209417832721934,-14.527139836342876,0.7027823747645632,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0022,78.13622143546598,9.91733215951126,0.3460594415664673,0.5599682287529786,-0.4290677607059479,0.5190184049079755,-8.398374685157355,-14.20648945376,0.5911646724894851,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0023,78.13631251962293,9.917331307256582,0.3037608563899994,0.6141148947231609,-0.4132404327392578,0.45556805399325084,-8.027382231668284,-14.828185845859469,0.5413596993667166,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0024,78.13640360377168,9.917330454977247,0.30732861161231995,0.49335863377609107,-0.4644157588481903,0.4609248042546905,-8.583598459177642,-17.812974519084456,0.4818733923400244,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0025,78.1364946879122,9.91732960267326,0.35249456763267517,0.5896761317245759,-0.4683544337749481,0.5286701911346076,-7.446892615663678,-18.870150095021373,0.39463875900109757,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0026,78.1365857720445,9.917328750344616,0.5152068138122559,0.8936484490398818,-0.5871296525001526,0.7726927170442451,-8.751858024613833,-15.905208560600485,0.550251069721491,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0027,78.13558298676604,9.917247814680545,0.6821581125259399,1.3534711181770005,-0.6512847542762756,1.0231005474696222,-8.12756341331706,-17.031283372378077,0.4772137974345857,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0028,78.13567407095566,9.91724696260636,0.7421895265579224,1.5364130434782608,-0.6478768587112427,1.1131382071137945,-10.508153769746723,-16.924620633326427,0.6208797229436872,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0029,78.13576515513708,9.91724611050752,0.7159932851791382,1.5015541963300914,-0.6192194819450378,1.0738615991394764,-12.473891047389913,-15.703001847380115,0.7943634706679381,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
